hh,mm,ss,sss,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temperature_c,ppg_red,ppg_ir,ppg_green
0,0,0,0,0.0306396484375,-0.02606201171875,-0.01373291015625,-95.74127197265625,5.16510009765625,-84.1217041015625,38.09375,1123,727,186
0,0,0,10,0.029541015625,-0.015380859375,-0.021240234375,-94.00177001953125,3.56292724609375,-84.6710205078125,38.09375,1114,724,182
0,0,0,20,0.029541015625,-0.015380859375,-0.021240234375,-94.00177001953125,3.56292724609375,-84.6710205078125,38.09375,1116,725,188
0,0,0,30,0.0274658203125,-0.00872802734375,-0.0196533203125,-94.21539306640625,5.0811767578125,-81.15386962890625,41.09375,1111,715,197
0,0,0,40,0.0274658203125,-0.00872802734375,-0.0196533203125,-94.21539306640625,5.0811767578125,-81.15386962890625,41.09375,1125,718,179
0,0,0,50,0.02301025390625,-0.00115966796875,-0.0233154296875,-94.9554443359375,4.1961669921875,-86.32659912109375,41.09375,1129,716,185
0,0,0,60,0.02301025390625,-0.00115966796875,-0.0233154296875,-94.9554443359375,4.1961669921875,-86.32659912109375,41.09375,1116,708,174
0,0,0,70,0.02728271484375,-0.0076904296875,-0.024169921875,-91.8731689453125,1.41143798828125,-83.0841064453125,38.09375,1132,709,180
0,0,0,80,0.02728271484375,-0.0076904296875,-0.024169921875,-91.8731689453125,1.41143798828125,-83.0841064453125,38.09375,1124,716,198
0,0,0,90,0.016845703125,-0.01153564453125,-0.0150146484375,-93.04046630859375,2.86865234375,-83.51898193359375,38.09375,1109,714,202
0,0,0,100,0.016845703125,-0.01153564453125,-0.0150146484375,-93.04046630859375,2.86865234375,-83.51898193359375,38.09375,1108,708,186
0,0,0,110,0.01947021484375,-0.018310546875,-0.00787353515625,-93.62030029296875,3.59344482421875,-84.3658447265625,38.09375,1109,705,191
0,0,0,120,0.01947021484375,-0.018310546875,-0.00787353515625,-93.62030029296875,3.59344482421875,-84.3658447265625,42.09375,1123,706,192
0,0,0,130,0.0234375,-0.016357421875,-0.00701904296875,-96.7254638671875,6.3934326171875,-82.52716064453125,42.09375,1121,712,177
0,0,0,140,0.02398681640625,-0.00677490234375,-0.01947021484375,-95.32928466796875,5.10406494140625,-85.174560546875,42.09375,1124,719,202
0,0,0,150,0.02398681640625,-0.00677490234375,-0.01947021484375,-95.32928466796875,5.10406494140625,-85.174560546875,42.09375,1124,704,188
0,0,0,160,0.02447509765625,-0.00439453125,-0.02520751953125,-92.3919677734375,1.64031982421875,-83.5723876953125,40.09375,1123,720,182
0,0,0,170,0.02447509765625,-0.00439453125,-0.02520751953125,-92.3919677734375,1.64031982421875,-83.5723876953125,40.09375,1113,722,195
